Order_ID,Order_Date,Region,Category,Product,Sales,Profit,Quantity,Payment_Mode
2001,05-01-2023,North,Electronics,Laptop,55000,8000,2,Card
2002,06-01-2023,South,Clothing,T-shirt,1500,300,3,Cash
2003,07-01-2023,East,Electronics,Mobile,30000,4000,2,UPI
2004,08-01-2023,West,Furniture,Chair,7000,1200,4,Card
2005,10-01-2023,North,Furniture,Table,12000,2500,1,Cash
2006,12-01-2023,South,Electronics,Headphones,3000,700,5,UPI
2007,15-01-2023,East,Clothing,Jeans,4000,900,2,Card
2008,18-01-2023,West,Electronics,Tablet,25000,3500,1,UPI
2009,20-01-2023,North,Clothing,Jacket,6000,1500,2,Cash
2010,22-01-2023,South,Furniture,Sofa,30000,5000,1,Card
2011,01-02-2023,East,Electronics,Camera,45000,7000,1,Card
2012,03-02-2023,West,Clothing,Shirt,2000,400,4,UPI
2013,05-02-2023,North,Furniture,Bed,40000,8000,1,Cash
2014,07-02-2023,South,Electronics,Smartwatch,10000,2000,2,UPI
2015,10-02-2023,East,Furniture,Desk,15000,3000,1,Card
2016,12-02-2023,West,Clothing,Shoes,5000,1000,3,Cash
2017,15-02-2023,North,Electronics,Monitor,12000,2500,2,UPI
2018,18-02-2023,South,Furniture,Almirah,20000,4000,1,Card
2019,20-02-2023,East,Clothing,Cap,1000,200,5,Cash
2020,22-02-2023,West,Electronics,Speaker,8000,1800,2,UPI
